City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Coalinga,13380,6.12,2186.27451,17.3,NA,0.281,0.233,0.17,0.087,0.03,0.079,0.041,505,0.533,0.08,3.07,2544,0.222,2186.6,41864000,S,0.013,F,0.535,123606000,F,0.041,4344,0.578,11668,6888,0.377,NA,204300,0.429,0.807,0.147,6.12,0.003,12060,0.448,7220000,0.64,46229,124,0,6,12,106,539,173,343,23,6
Colton,52154,15.32,3404.308094,25.9,1156951000,0.32,0.179,0.266,0.12,0.05,0.07,0.051,3195,0.529,0.094,3.42,15205,0.325,3403.4,420177000,0.272,0.013,0.135,0.71,645453000,0.113,0.097,16350,0.434,47662,12797,0.13,NA,255100,0.532,0.859,0.094,15.32,0.003,16496,0.51,60319000,0.727,43373,170,6,14,79,71,1579,406,890,283,4
Colusa,5971,1.83,3262.84153,18.8,NA,0.3,0.145,0.245,0.096,0.013,0.117,0.042,S,0.668,0.091,2.78,2106,0.206,3255.7,37072000,S,0.018,S,0.524,79300000,S,0.009,2282,0.661,5402,13864,0.425,NA,240400,0.459,0.904,0.105,1.83,0.005,20503,0.5,5571000,0.741,47596,11,0,2,1,8,124,37,77,10,0
Commerce,12823,6.54,1960.703364,25.8,4453605000,0.298,0.138,0.364,0.067,0.011,0.107,0.047,2413,0.513,0.08,3.89,3094,0.22,1961.6,6530123000,0.133,0.013,0.14,0.945,545113000,F,0.007,3470,0.54,12568,41165,0.031,NA,389600,0.792,0.852,0.02,6.54,0.001,15773,0.509,62356000,0.509,50667,142,2,4,54,82,1000,157,511,332,5
Compton,96455,10.01,9635.864136,28.1,1083726000,0.331,0.228,0.299,0.071,0.003,0.075,0.034,5082,0.564,0.092,4.06,23442,0.194,9633.9,2195173000,S,0.007,0.039,0.65,267935000,0.283,0.329,24523,0.259,93493,2881,0.008,NA,330100,0.601,0.885,0.032,10.01,0.007,13542,0.513,86547000,0.588,43201,1327,25,25,477,800,2784,847,1223,714,41
Concord,122067,30.55,3995.646481,29.5,528605000,0.229,0.096,0.268,0.304,0.111,0.118,0.064,11008,0.629,0.068,2.67,44919,0.315,3996.2,553662000,0.282,0.007,S,0.306,2578458000,S,0.036,47125,0.645,121780,21488,0.503,NA,470200,0.355,0.844,0.002,30.55,0.007,31029,0.503,240974000,0.861,65123,551,4,28,167,352,3799,922,2128,749,6
Corcoran,24813,7.47,3321.686747,20.9,D,0.179,0.253,0.219,0.041,0.008,0.053,0.025,384,0.563,0.054,3.65,3571,0.184,3323,D,S,0.014,S,0.626,54762000,F,0.15,3958,0.36,14458,2210,0.194,NA,160900,0.542,0.772,0.716,7.47,0.001,8237,0.253,D,0.548,35051,42,0,1,4,37,289,119,135,35,1
Corning,7663,3.55,2158.591549,18.2,NA,0.324,0.266,0.173,0.085,0.011,0.101,0.042,505,0.546,0.099,2.77,2725,0.315,2158.6,D,0.442,0.026,F,0.427,255131000,F,0.006,2871,0.719,6741,36097,0.519,NA,192100,0.329,0.842,0.137,3.55,0.001,14032,0.514,12516000,0.747,32729,46,0,5,6,35,314,63,228,23,8
Corona,152374,38.83,3924.130827,33.3,4279667000,0.3,0.089,0.257,0.243,0.099,0.073,0.051,17340,0.693,0.074,3.47,43325,0.224,3924.6,6720195000,0.273,0.008,0.17,0.436,2418874000,S,0.059,47174,0.597,124966,16367,0.381,NA,435500,0.428,0.832,0.219,38.83,0.004,27409,0.508,247662000,0.812,79180,199,2,15,90,92,3536,650,2453,433,14
Coronado,18912,7.93,2384.867591,20.1,NA,0.204,0.061,0.109,0.555,0.03,0.184,0.035,2570,0.502,0.047,2.29,6784,0.439,2384.6,10197000,0.327,0.005,S,0.122,84110000,F,0.021,9634,0.881,24100,3777,0.794,NA,1000001,0.177,0.709,-0.215,7.93,0.003,47141,0.482,246510000,0.957,91071,25,0,0,3,22,442,69,336,37,1
Costa Mesa,109960,15.65,7026.198083,22.3,1962667000,0.215,0.133,0.271,0.339,0.079,0.092,0.047,14512,0.434,0.065,2.65,40104,0.483,7024.4,4176166000,0.234,0.006,0.093,0.358,3875840000,S,0.015,42120,0.685,108724,36053,0.518,NA,644900,0.387,0.824,0.011,15.65,0.005,33338,0.491,512110000,0.857,64864,240,1,34,93,112,3194,458,2454,282,10
Cotati,7265,1.88,3864.361702,24.7,NA,0.219,0.076,0.096,0.33,0.039,0.084,0.055,1071,0.58,0.058,2.23,3176,0.319,3864.4,97811000,S,0.01,F,0.173,174460000,F,0.017,3143,0.816,6471,24503,0.725,NA,439700,0.134,0.849,0.123,1.88,0.004,36422,0.525,14098000,0.909,64107,35,0,0,6,29,86,28,55,3,0
Covina,47796,7.03,6798.86202,31.5,393679000,0.249,0.107,0.211,0.23,0.119,0.117,0.048,4631,0.576,0.063,3.07,15230,0.296,6802.7,250829000,0.3,0.011,S,0.524,765297000,S,0.042,16576,0.585,46837,16422,0.299,NA,446600,0.398,0.857,0.02,7.03,0.002,24713,0.517,91799000,0.841,64141,171,1,7,77,86,1643,377,1072,194,6
Crescent City,7643,1.96,3899.489796,9.5,NA,0.145,0.333,0.094,0.109,0.044,0.077,0.036,675,0.262,0.046,2.58,1827,0.44,3893.5,D,0.281,0.048,F,0.306,106686000,F,0.119,1906,0.661,4006,13589,0.452,NA,194900,0.276,0.728,0.908,1.96,0.001,9953,0.286,24861000,0.693,26612,28,0,8,2,18,287,87,190,10,0
Cudahy,23805,1.18,20173.72881,32,92298000,0.35,0.243,0.489,0.034,0.006,0.051,0.043,1163,0.179,0.092,4.26,5597,0.329,20259.6,166077000,0.353,0.01,0.083,0.96,97898000,S,0.014,5770,0.492,24208,4044,0.021,NA,350300,0.908,0.922,-0.017,1.18,0.001,12084,0.504,11101000,0.407,41805,161,4,6,65,86,475,68,289,118,2
Culver City,38883,5.11,7609.197652,25,566677000,0.188,0.072,0.257,0.518,0.148,0.149,0.061,7220,0.568,0.053,2.28,16870,0.503,7607.7,1965877000,0.272,0.005,0.134,0.232,1605573000,0.066,0.095,17491,0.603,38816,41944,0.48,NA,618600,0.369,0.879,0.002,5.11,0.002,40523,0.529,189494000,0.908,72199,149,0,4,94,51,1638,177,1337,124,2
Cupertino,58302,11.26,5177.797513,24,669827000,0.276,0.046,0.489,0.747,0.633,0.125,0.033,5768,0.646,0.054,2.87,19575,0.304,5179.6,1139344000,0.278,0.002,0.426,0.036,3703019000,F,0.006,21027,0.313,50546,70464,0.293,NA,993500,0.62,0.865,0.153,11.26,0.001,49890,0.507,163072000,0.97,120201,60,0,6,17,37,981,216,728,37,9
Cypress,47802,6.58,7264.741641,27.6,431208000,0.237,0.063,0.278,0.381,0.313,0.129,0.049,5020,0.719,0.05,3.01,15729,0.203,7263.6,7669583000,S,0.006,0.334,0.184,597374000,S,0.03,16068,0.544,46229,12837,0.436,NA,591000,0.377,0.899,0.034,6.58,0.005,32338,0.515,105357000,0.922,83196,63,0,2,37,24,787,121,584,82,5
Daly City,101123,7.66,13201.43603,28.4,NA,0.194,0.07,0.529,0.34,0.556,0.135,0.049,7100,0.585,0.054,3.23,30695,0.353,13194.5,D,0.339,0.004,0.377,0.237,943234000,S,0.036,32588,0.236,103621,9475,0.139,NA,611200,0.687,0.861,-0.024,7.66,0.008,27731,0.506,142202000,0.863,74987,250,2,9,105,134,1804,332,1152,320,17
Dana Point,33351,6.5,5130.923077,26.8,NA,0.179,0.055,0.136,0.441,0.032,0.17,0.032,5532,0.616,0.047,2.32,14368,0.314,5133.3,188705000,0.284,0.007,S,0.17,351696000,S,0.009,15938,0.861,35110,9992,0.764,NA,827200,0.134,0.858,-0.05,6.5,0.001,49695,0.505,290498000,0.948,80609,66,0,2,13,51,595,129,438,28,4
Davis,65622,9.89,6635.187058,20,NA,0.164,0.235,0.183,0.684,0.219,0.085,0.054,5263,0.448,0.037,2.58,24196,0.426,6637.2,171640000,0.37,0.005,S,0.125,480475000,S,0.023,25869,0.649,60308,7752,0.589,NA,571600,0.27,0.673,0.088,9.89,0.002,31247,0.525,D,0.957,59517,99,0,18,30,51,1738,415,1220,103,15
Delano,53041,14.3,3709.160839,24.3,NA,0.284,0.277,0.374,0.058,0.127,0.061,0.037,1772,0.554,0.08,4.04,10126,0.21,3708.4,208812000,S,0.009,S,0.715,258939000,S,0.079,10713,0.364,38824,4978,0.075,NA,184300,0.721,0.74,0.366,14.3,0.001,10739,0.401,25901000,0.506,35673,247,0,6,55,186,1651,773,446,432,59
Desert Hot Springs,25938,23.62,1098.137172,31.8,NA,0.311,0.249,0.227,0.127,0.026,0.096,0.05,1970,0.502,0.09,2.99,8114,0.273,1098.4,NA,0.346,0.014,S,0.526,120868000,S,0.082,10902,0.58,16582,5111,0.344,NA,202000,0.426,0.774,0.564,23.62,0.003,15901,0.499,18157000,0.726,36326,374,3,8,67,296,1380,573,630,177,5
Diamond Bar,55544,14.88,3732.795699,34.7,319455000,0.214,0.046,0.42,0.478,0.525,0.117,0.039,7574,0.839,0.043,3.12,17816,0.167,3732.8,463477000,0.317,0.003,0.492,0.201,391890000,0.017,0.041,18455,0.332,56287,6935,0.213,NA,574900,0.562,0.915,-0.013,14.88,0.002,33145,0.512,64657000,0.925,87216,48,0,4,14,30,808,250,480,78,2
Dinuba,21453,6.47,3315.76507,22.6,D,0.349,0.264,0.316,0.06,0.021,0.078,0.04,859,0.562,0.102,3.86,5379,0.21,3315.8,22516000,0.226,0.009,S,0.844,288782000,F,0.007,5868,0.52,16844,14354,0.125,NA,196400,0.666,0.857,0.274,6.47,0.001,13100,0.492,12760000,0.555,39165,177,1,2,25,149,825,301,402,122,8
Dixon,18351,7,2621.571429,23.2,D,0.291,0.086,0.209,0.196,0.037,0.085,0.055,1126,0.636,0.072,3.11,5771,0.166,2623.1,32695000,0.385,0.01,S,0.405,378317000,0.036,0.031,6172,0.71,16103,21742,0.493,NA,394400,0.33,0.811,0.14,7,0.003,26566,0.506,35467000,0.821,69742,69,0,11,18,40,481,71,358,52,7
Downey,111772,12.41,9006.607575,26.6,1141654000,0.268,0.1,0.358,0.194,0.07,0.104,0.041,9047,0.514,0.07,3.28,33392,0.376,9008.1,376068000,0.259,0.007,0.104,0.707,1216214000,S,0.039,35601,0.566,107323,11419,0.177,NA,522800,0.676,0.856,0.041,12.41,0.002,22731,0.515,181533000,0.752,59674,394,6,17,199,172,3956,656,2372,928,4
Duarte,21321,6.69,3186.995516,28.5,189340000,0.222,0.104,0.339,0.254,0.158,0.158,0.046,2383,0.704,0.058,3.07,6404,0.208,3187,338445000,0.268,0.008,S,0.478,457019000,S,0.074,7254,0.519,21486,21154,0.269,NA,426600,0.501,0.877,-0.008,6.69,0.001,24152,0.527,27800000,0.812,60935,72,0,4,24,44,440,115,249,76,2
Dublin,46036,14.91,3087.59222,29.5,D,0.224,0.039,0.232,0.423,0.268,0.073,0.06,4506,0.663,0.074,2.78,13273,0.332,3088,251767000,0.32,0.005,0.214,0.145,1249884000,0.022,0.094,15782,0.513,29973,28820,0.443,NA,652800,0.325,0.755,0.536,14.91,0.006,39337,0.479,135799000,0.909,107754,69,0,5,20,44,720,122,526,72,2
East Palo Alto,28155,2.51,11217.13147,20.2,NA,0.319,0.166,0.412,0.16,0.038,0.059,0.048,1078,0.462,0.093,3.75,7408,0.4,11239.5,D,S,0.004,S,0.645,220225000,S,0.167,7819,0.288,29506,6753,0.062,NA,525600,0.701,0.855,-0.046,2.51,0.075,17942,0.493,41916000,0.65,48734,271,4,18,103,146,846,364,248,234,0
El Cajon,99478,14.43,6893.832294,23.5,999148000,0.257,0.213,0.25,0.162,0.036,0.11,0.069,8267,0.432,0.076,2.89,32916,0.491,6892.4,459061000,0.284,0.008,S,0.282,1968368000,S,0.063,35850,0.693,94869,21521,0.568,NA,388900,0.356,0.792,0.049,14.43,0.005,21150,0.511,171319000,0.796,47048,387,0,15,169,203,2766,552,1678,536,12
El Centro,42598,11.08,3844.584838,16.7,NA,0.297,0.209,0.31,0.154,0.023,0.107,0.052,2934,0.5,0.079,3.09,13395,0.306,3844.2,202167000,0.262,0.013,S,0.816,755965000,S,0.025,14476,0.596,37835,19150,0.135,NA,211300,0.715,0.844,0.126,11.08,0.001,18830,0.514,81920000,0.683,38481,197,1,7,45,144,2408,672,1546,190,13
El Cerrito,23549,3.69,6381.842818,31.8,NA,0.174,0.077,0.315,0.573,0.273,0.179,0.065,2678,0.621,0.056,2.33,9867,0.264,6385.3,18867000,0.376,0.005,S,0.111,408396000,0.068,0.077,10716,0.533,23171,18520,0.483,NA,605300,0.364,0.864,0.016,3.69,0.002,41698,0.52,44157000,0.932,79328,134,0,2,75,57,947,208,590,149,4
El Monte,113475,9.56,11869.76987,28.3,806705000,0.284,0.207,0.529,0.107,0.251,0.093,0.032,7608,0.41,0.079,4.05,27590,0.26,11867.3,858890000,S,0.01,0.395,0.69,2140421000,S,0.008,29069,0.388,115965,17754,0.049,NA,396600,0.844,0.879,-0.021,9.56,0.001,14303,0.498,83954000,0.523,42750,600,3,27,265,305,2598,607,1194,797,13
Paso Robles,29793,19.425,1533.745174,22.1,489461000,0.263,0.1,0.154,0.218,0.02,0.134,0.039,3121,0.624,0.078,2.67,10766,0.194,1558.2,166615000,0.259,0.01,S,0.345,634736000,F,0.021,11426,0.777,24297,22274,0.591,NA,417200,0.242,0.808,0.226,19.12,0.002,25839,0.513,97967000,0.836,57459,,,,,,,,,,
El Segundo,16654,5.46,3050.18315,21.5,21486441000,0.223,0.033,0.139,0.49,0.088,0.101,0.057,2880,0.443,0.05,2.27,7281,0.522,3048.5,3317852000,0.147,0.004,S,0.157,381907000,F,0.02,7410,0.78,16033,23816,0.691,NA,804800,0.177,0.84,0.039,5.46,0.002,47421,0.501,189650000,0.962,89926,34,0,5,17,12,541,141,360,40,2
Elk Grove,153015,42.19,3626.8073,30.8,281501000,0.301,0.08,0.226,0.333,0.263,0.083,0.079,12520,0.769,0.072,3.18,44335,0.094,3626.8,D,0.337,0.006,0.238,0.18,1950048000,0.092,0.112,50634,0.461,59984,14999,0.381,NA,360900,0.327,0.831,1.551,42.19,0.012,29164,0.516,169556000,0.893,79457,529,2,14,108,405,3204,653,2208,343,15
Emeryville,10080,1.25,8064,28.6,1246127000,0.102,0.15,0.276,0.677,0.275,0.1,0.064,1817,0.361,0.042,1.68,5579,0.871,8089.9,599967000,0.208,0.004,0.139,0.092,631882000,S,0.175,6646,0.445,6882,68275,0.402,NA,437400,0.355,0.697,0.465,1.25,0.002,52272,0.506,121586000,0.962,61088,128,0,2,58,68,981,113,777,91,0
Encinitas,59518,18.81,3164.167996,24.2,NA,0.206,0.08,0.142,0.543,0.039,0.128,0.034,9912,0.647,0.054,2.52,23141,0.211,3163.8,155085000,0.286,0.005,0.045,0.137,1082837000,S,0.006,25740,0.858,58014,18292,0.788,NA,734800,0.196,0.844,0.026,18.81,0.002,48226,0.505,180099000,0.927,86845,146,1,9,37,99,947,216,639,92,5
Escalon,7132,2.3,3100.869565,30.5,230803000,0.271,0.09,0.109,0.149,0.013,0.125,0.036,525,0.778,0.067,2.65,2657,0.08,3099.5,D,S,0.011,F,0.27,76537000,F,0.004,2610,0.816,5963,10610,0.688,NA,306900,0.198,0.913,0.196,2.3,0.003,26665,0.51,5757000,0.866,65457,15,0,3,1,11,179,54,110,15,0
Escondido,143911,36.81,3909.562619,27.4,572241000,0.276,0.156,0.288,0.221,0.061,0.105,0.044,11697,0.544,0.081,3.06,44574,0.352,3909.2,641955000,0.314,0.01,S,0.489,2698259000,0.02,0.025,48044,0.604,133559,20026,0.404,NA,404900,0.471,0.831,0.078,36.81,0.002,23182,0.505,211589000,0.75,51675,597,3,37,212,345,4033,743,2460,830,19
Eureka,27191,9.38,2898.827292,14.7,117416000,0.2,0.211,0.079,0.227,0.042,0.118,0.059,2954,0.465,0.061,2.24,11584,0.314,2897.6,159288000,0.258,0.037,S,0.116,968640000,F,0.019,11891,0.793,26128,38313,0.739,NA,288800,0.118,0.789,0.041,9.38,0.006,22959,0.486,91815000,0.884,34950,184,1,17,57,109,1576,651,771,154,24
Exeter,10334,2.46,4200.813008,21.6,NA,0.318,0.172,0.132,0.125,0.013,0.115,0.037,827,0.62,0.087,3.07,3305,0.125,4195.7,58503000,S,0.017,S,0.455,65604000,F,0.006,3600,0.692,9168,6645,0.5,NA,211400,0.331,0.857,0.127,2.46,0.001,17280,0.514,8728000,0.759,43690,22,0,3,5,14,247,79,142,26,3
Fairfield,105321,37.39,2816.82268,28.8,1358512000,0.271,0.11,0.22,0.222,0.149,0.102,0.088,6317,0.642,0.074,3.07,33270,0.218,2816.8,681874000,0.266,0.008,0.164,0.273,1346260000,0.128,0.157,37184,0.46,96178,13027,0.352,NA,392700,0.329,0.805,0.095,37.39,0.011,26647,0.508,162314000,0.848,68009,502,8,18,185,291,3395,757,2169,469,17
Farmersville,10588,2.26,4684.955752,22.3,NA,0.368,0.312,0.354,0.024,0.007,0.066,0.042,211,0.597,0.106,4.14,2484,0.119,4689.1,D,S,0.02,F,0.838,33140000,F,0.006,2726,0.5,8737,3353,0.137,NA,151300,0.681,0.872,0.212,2.26,Z,9918,0.496,3475000,0.414,32886,68,3,1,7,57,207,54,129,24,1
Fillmore,15002,3.36,4464.880952,31.8,NA,0.302,0.114,0.258,0.132,0.01,0.103,0.053,1116,0.676,0.085,3.35,4345,0.134,4459.6,42186000,0.461,0.012,S,0.747,95444000,F,0.005,4408,0.572,13643,6397,0.227,NA,410100,0.585,0.921,0.1,3.36,0.001,21182,0.5,17251000,0.671,58076,38,2,2,5,29,277,51,206,20,4
Firebaugh,7549,3.46,2181.791908,24.3,NA,0.36,0.335,0.447,0.048,0.005,0.065,0.031,252,0.47,0.097,3.74,1974,0.277,2180.5,87407000,S,0.015,0.127,0.912,30585000,F,0.009,2096,0.625,5743,4483,0.075,NA,170500,0.84,0.911,0.314,3.46,0,10493,0.485,2694000,0.397,30000,21,0,0,2,19,176,53,88,35,1
Folsom,72203,21.95,3289.430524,25.7,110655000,0.243,0.037,0.134,0.401,0.125,0.096,0.042,6145,0.723,0.061,2.61,22659,0.225,3290.2,824771000,0.308,0.006,S,0.112,1766677000,0.007,0.057,26109,0.743,51884,26474,0.665,NA,461200,0.191,0.818,0.392,21.95,0.002,36508,0.467,159109000,0.896,94642,105,0,9,32,64,1484,262,1159,63,22
Fontana,196069,42.43,4620.999293,31.3,1839304000,0.329,0.125,0.314,0.144,0.066,0.057,0.049,12630,0.703,0.086,4.05,46708,0.145,4620.8,2404974000,0.314,0.01,0.103,0.668,1852492000,0.107,0.1,51857,0.474,128929,10024,0.154,NA,346700,0.591,0.838,0.521,42.43,0.003,19272,0.503,158013000,0.709,63252,759,6,37,240,476,3681,804,2130,747,13
Fort Bragg,7273,2.75,2644.727273,14.3,NA,0.247,0.261,0.193,0.185,0.015,0.137,0.046,1163,0.442,0.074,2.46,2812,0.23,2645.7,D,S,0.022,F,0.318,176260000,F,0.007,3196,0.748,7026,26848,0.617,NA,375700,0.327,0.841,0.035,2.75,0.002,18831,0.511,35665000,0.77,34570,44,1,4,4,35,232,65,156,11,2
Fortuna,11926,4.85,2458.969072,20.5,NA,0.246,0.191,0.066,0.199,0.009,0.173,0.046,1014,0.619,0.071,2.52,4498,0.228,2461.5,D,S,0.037,S,0.17,165764000,F,0.006,4991,0.812,10497,14728,0.748,NA,302400,0.109,0.829,0.136,4.85,0.001,22986,0.518,17832000,0.888,38712,40,0,4,4,32,438,87,324,27,7
Foster City,30567,3.76,8129.521277,26.4,D,0.226,0.044,0.392,0.622,0.45,0.134,0.05,3402,0.592,0.068,2.54,11729,0.413,8138.2,D,0.339,0.001,0.3,0.065,279557000,S,0.019,12458,0.455,28803,9810,0.42,NA,851900,0.458,0.835,0.061,3.76,0.006,52363,0.517,78554000,0.963,111563,24,0,1,2,21,416,103,273,40,1
Fountain Valley,55313,9.02,6132.261641,25.5,3201122000,0.21,0.062,0.29,0.375,0.333,0.176,0.042,7855,0.721,0.046,2.91,18706,0.223,6133.6,6251718000,0.285,0.004,0.296,0.131,1283081000,0.003,0.009,19164,0.565,54978,23445,0.492,NA,644200,0.392,0.903,0.006,9.02,0.003,35035,0.513,115259000,0.892,79364,103,3,5,28,67,1292,266,951,75,9
Fowler,5570,2.53,2201.581028,18.5,209410000,0.298,0.201,0.247,0.196,0.11,0.1,0.05,363,0.595,0.08,3.08,1700,0.201,2200.7,39916000,S,0.024,S,0.662,79927000,F,0.019,1842,0.473,3979,15306,0.2,NA,245100,0.404,0.939,0.4,2.53,0.001,20785,0.501,2624000,0.712,56750,25,0,1,4,20,130,25,71,34,0
Fremont,214089,77.46,2763.865221,29,8724594000,0.249,0.052,0.431,0.501,0.506,0.102,0.059,19240,0.648,0.071,3,68969,0.271,2763.9,11312162000,0.302,0.005,0.458,0.148,2721771000,0.019,0.033,73989,0.328,203413,13664,0.265,NA,641900,0.565,0.858,0.052,77.46,0.005,37844,0.503,296626000,0.911,96287,488,3,40,189,256,4414,1167,2757,490,22
Fresno,494665,111.96,4418.229725,20.8,3965639000,0.301,0.249,0.209,0.205,0.126,0.093,0.05,33054,0.495,0.089,3.04,156226,0.337,4418.3,4831362000,0.299,0.017,0.135,0.469,6358834000,0.054,0.083,171288,0.496,427652,13655,0.3,NA,244200,0.424,0.805,0.157,111.96,0.002,19709,0.509,813573000,0.747,43124,3034,45,70,1021,1898,24460,5262,14645,4553,147
Fullerton,135161,22.35,6047.472036,26.5,2128161000,0.233,0.113,0.313,0.374,0.228,0.117,0.043,12648,0.539,0.059,2.87,45502,0.374,6046.7,2275698000,0.272,0.006,0.248,0.344,1608586000,S,0.023,47869,0.539,126003,12341,0.382,NA,582600,0.462,0.824,0.073,22.35,0.002,30580,0.509,253464000,0.858,67179,425,3,26,145,251,3847,680,2825,342,22
Galt,23647,5.93,3987.689713,28.2,NA,0.311,0.122,0.192,0.131,0.034,0.096,0.062,S,0.744,0.075,3.18,7204,0.05,3987,D,S,0.015,S,0.428,112188000,S,0.018,7678,0.661,19472,4737,0.487,NA,308500,0.356,0.862,0.214,5.93,0.005,21112,0.507,16502000,0.772,58476,50,0,5,7,38,467,131,300,36,6
Garden Grove,170883,5.83,29310.9777,27.1,1705071000,0.256,0.129,0.437,0.197,0.371,0.108,0.036,16935,0.594,0.067,3.64,45679,0.31,9524.7,1378954000,0.31,0.006,0.52,0.369,1410710000,S,0.013,47755,0.399,165196,8626,0.226,NA,472900,0.664,0.87,0.034,17.94,0.006,20971,0.501,344225000,0.722,61026,539,3,22,184,330,3590,810,2318,462,13
Gardena,58829,17.94,3279.208473,26,1426131000,0.228,0.159,0.34,0.218,0.262,0.141,0.045,5461,0.469,0.063,2.75,21043,0.429,10092.5,1049516000,0.298,0.006,S,0.377,757423000,S,0.244,21472,0.246,57746,13077,0.093,NA,417800,0.527,0.899,0.019,5.83,0.007,21636,0.519,102197000,0.803,46837,347,2,9,202,134,1446,271,835,340,9
Gilroy,48821,16.15,3022.972136,28.9,566050000,0.307,0.087,0.254,0.246,0.071,0.084,0.051,3580,0.629,0.085,3.24,14147,0.247,3023.7,273961000,0.26,0.017,0.127,0.578,1140989000,S,0.019,14854,0.587,41464,23603,0.314,NA,592300,0.461,0.849,0.177,16.15,0.002,28527,0.504,103283000,0.759,71340,205,1,14,78,112,1555,237,1126,192,21
Glendale,191719,30.45,6296.190476,25.6,606556000,0.186,0.13,0.547,0.388,0.164,0.156,0.045,27602,0.39,0.048,2.65,71509,0.588,6295.6,894190000,0.246,0.003,0.177,0.174,3224000000,0.021,0.013,76269,0.711,194973,16613,0.615,NA,635100,0.681,0.883,-0.017,30.45,0.001,29823,0.523,324018000,0.852,54677,277,0,17,119,141,3717,642,2747,328,12
Glendora,50073,19.39,2582.413615,29.3,388761000,0.235,0.065,0.147,0.296,0.08,0.141,0.048,4788,0.714,0.05,2.97,16441,0.139,2582,145010000,0.284,0.007,0.123,0.307,727611000,S,0.019,17778,0.751,49415,14831,0.57,NA,529200,0.243,0.907,0.013,19.39,0.001,32951,0.516,68343000,0.893,75954,62,0,9,24,29,1249,228,946,75,9
Goleta,29888,7.9,3783.291139,16.3,1658833000,0.212,0.091,0.259,0.422,0.091,0.135,0.046,3226,0.542,0.055,2.68,10814,0.392,3781.9,1166209000,0.243,0.009,0.072,0.329,668349000,S,0.016,11473,0.697,55204,22921,0.536,NA,767100,0.373,0.843,-0.459,7.9,0.001,32073,0.497,92994000,0.868,67895,57,0,5,11,41,407,121,277,9,1
Gonzales,8187,1.92,4264.0625,21.6,NA,0.349,0.158,0.391,0.038,0.023,0.06,0.043,364,0.605,0.102,4.2,1835,0.188,4261.8,37057000,S,0.015,F,0.889,24786000,F,0.01,1989,0.423,7525,2937,0.079,NA,413200,0.779,0.876,0.088,1.92,0.002,16212,0.489,5797000,0.493,53463,35,1,0,6,28,153,44,93,16,0
Grand Terrace,12040,3.5,3440,23.7,NA,0.231,0.039,0.138,0.217,0.065,0.125,0.052,945,0.639,0.063,2.65,4494,0.29,3438,88106000,0.302,0.01,S,0.391,43150000,S,0.056,4649,0.657,11626,3545,0.464,NA,335200,0.227,0.886,0.036,3.5,0.003,29193,0.518,3968000,0.871,62335,20,0,1,6,13,278,83,157,38,2
Grass Valley,12860,4.74,2713.080169,15.6,D,0.204,0.163,0.077,0.229,0.015,0.235,0.039,2253,0.414,0.059,2.25,5457,0.458,2711.4,47772000,0.239,0.016,S,0.104,635386000,F,0.004,6637,0.894,10922,51674,0.837,NA,346100,0.115,0.729,0.177,4.74,0.001,22214,0.559,55041000,0.852,35385,111,0,8,15,88,500,111,370,19,3
Greenfield,16330,2.14,7630.841121,26.3,NA,0.358,0.19,0.443,0.073,0.011,0.047,0.04,S,0.584,0.116,4.69,3304,0.159,7648.7,50923000,S,0.054,S,0.913,48940000,S,0.011,3752,0.366,12583,3349,0.057,NA,357400,0.853,0.841,0.298,2.14,0.001,14345,0.477,2805000,0.48,52321,104,3,3,41,57,344,85,229,30,7
